발생년도,경찰서,살인,강도,절도,폭력
2022,전남강진서,0,0,95,141
2022,전남담양서,3,0,148,141
2022,전남곡성서,1,0,45,65
2022,전남완도서,1,0,162,266
2022,전남진도서,0,0,103,163
2022,전남구례서,0,0,54,100
2022,경북경주서,1,1,1208,1069
2022,경북포항북부서,5,0,1162,946
2022,경북포항남부서,2,3,1341,881
2022,경북구미서,6,3,1748,1933
2022,경북경산서,1,2,1014,1249
2022,경북안동서,2,0,443,765
2022,경북김천서,2,0,493,527
2022,경북영주서,0,1,244,403
2022,경북영천서,2,1,283,533
2022,경북상주서,1,0,350,351
2022,경북문경서,1,0,180,227
2022,경북칠곡서,2,2,385,483
2022,경북의성서,0,0,91,171
2022,경북청도서,3,0,93,162
2022,경북영덕서,1,0,138,182
2022,경북울진서,1,1,163,184
2022,경북봉화서,0,0,36,84
2022,경북예천서,1,0,124,155
2022,경북성주서,2,0,131,192
2022,경북청송서,0,1,40,111
2022,경북영양서,0,0,42,70
2022,경북군위서,0,0,34,74
2022,경북고령서,2,0,93,103
2022,경북울릉서,0,0,10,36
2022,경남창원중부서,3,8,980,1209
2022,경남창원서부서,6,1,790,757
2022,경남마산중부서,2,2,440,840
2022,경남마산동부서,4,0,743,999
2022,경남진주서,4,0,2116,1671
2022,경남김해중부서,6,3,1888,1335
2022,경남김해서부서,2,1,878,1038
2022,경남양산서,4,0,1149,1573
2022,경남거제서,3,3,792,1149
2022,경남진해서,1,1,471,790
2022,경남통영서,1,5,383,745
2022,경남사천서,2,1,337,544
2022,경남밀양서,3,1,307,479
2022,경남거창서,0,0,114,209
2022,경남합천서,0,1,85,155
2022,경남창녕서,0,0,180,230
2022,경남고성서,1,0,169,217
2022,경남하동서,0,0,86,177
2022,경남남해서,2,0,39,104
2022,경남함양서,0,0,68,131
2022,경남산청서,0,1,68,111
2022,경남함안서,0,1,113,243
2022,경남의령서,0,0,66,127
2022,제주서귀포서,4,1,888,1392
2022,제주동부서,3,2,957,2113
2022,제주서부서,4,2,1281,1843
